date,sig_150_175,snr_150_175
2026-02-10,-31.298866666666726,
2026-02-11,-29.193317610062923,
2026-02-12,-30.125520833333386,
2026-02-13,-30.206773187840895,
2026-02-14,-30.69663819875776,
2026-02-15,-31.200397772474197,
2026-02-16,-31.20148968678387,
2026-02-17,-31.19675078864356,
2026-02-18,-31.30929768555466,
2026-02-19,-31.77902280130296,
2026-02-20,-31.35374482187239,
2026-02-21,-31.818109656301143,
2026-02-22,-32.11395901639342,
2026-02-23,-32.58617575264443,
2026-02-24,-31.536231884057976,
2026-02-25,-30.363719008264535,
2026-02-26,-30.8779736024844,
2026-02-27,-31.61928068803755,
2026-02-28,-30.583864229765005,
